hotel,arrival_date_month,country,total_night_stay,latitude,longitude
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,15,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,14,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,8,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,10,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,7,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,6,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,5,39.399872,-8.224454
Resort Hotel,July,620,3,39.399872,-8.224454
Resort Hotel,July,620,9,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,0,39.399872,-8.224454
Resort Hotel,July,620,1,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,2,39.399872,-8.224454
Resort Hotel,July,620,4,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,8,39.399872,-8.224454
Resort Hotel,August,620,14,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,10,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,14,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,9,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,9,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,8,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,0,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,11,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,3,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,5,39.399872,-8.224454
Resort Hotel,August,620,6,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,1,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,7,39.399872,-8.224454
Resort Hotel,August,620,2,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,August,620,4,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,6,39.399872,-8.224454
Resort Hotel,September,620,10,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,9,39.399872,-8.224454
Resort Hotel,September,620,9,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,6,39.399872,-8.224454
Resort Hotel,September,620,6,39.399872,-8.224454
Resort Hotel,September,620,6,39.399872,-8.224454
Resort Hotel,September,620,6,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,0,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,6,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,12,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,14,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,0,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,4,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,10,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,3,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,5,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,1,39.399872,-8.224454
Resort Hotel,September,620,2,39.399872,-8.224454
Resort Hotel,September,620,6,39.399872,-8.224454
Resort Hotel,September,620,6,39.399872,-8.224454
Resort Hotel,September,620,7,39.399872,-8.224454
Resort Hotel,October,620,3,39.399872,-8.224454
Resort Hotel,October,620,5,39.399872,-8.224454
Resort Hotel,October,620,2,39.399872,-8.224454
Resort Hotel,October,620,1,39.399872,-8.224454
Resort Hotel,October,620,1,39.399872,-8.224454
Resort Hotel,October,620,3,39.399872,-8.224454
Resort Hotel,October,620,7,39.399872,-8.224454
Resort Hotel,October,620,1,39.399872,-8.224454
Resort Hotel,October,620,14,39.399872,-8.224454
Resort Hotel,October,620,4,39.399872,-8.224454
Resort Hotel,October,620,4,39.399872,-8.224454
